Facility Name,Address,City,State,Zip Code,Phone Number,Facility Type,Type of Care,Regulation Status,Capacity,Serves DHS Children,Head Start,Relief Nursery,QRIS Stars
Tabor Tots Preschool I,2134 SE 53rd Ave,Portland,OR,97215-3914,5038881784,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,.
Mt Hood Community College Head Start - Knott Center,11456 NE Knott St,Portland,OR,97220,5032546454,Center,Head Start/Early HS,Certified,120,Unknown,Yes,No,5
SUN Community School - Grout Elementary,3119 SE Holgate Blvd,Portland,OR,97202,5039166209,Center,Exempt Center,Recorded,20,Unknown,No,No,.
Peninsula Children's Learning Center - Sabin,4013 NE 18th Ave,Portland,OR,97212,5037562761,Center,Regulated  Center (not HS),Certified,76,Yes,No,No,2
Kindercare - Downtown 1702,1400 SW 5th Ave Ste 100,Portland,OR,97201,5032480581,Center,Regulated  Center (not HS),Certified,112,Yes,No,No,.
,8239 NE Brazee Street,Portland,OR,,,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,302 NE 81st Ave,Portland,OR,97213-7022,5039155718,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,.
Overlook Collaborative Preschool,1707 N Jarrett St,Portland,OR,97217,5034774455,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,5
Sellwood Bilingual Preschool,1664 SE Marion St,Portland,OR,97202-7234,5032331814,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Growing Seeds,6527 NE MLK Blvd,Portland,OR,97211,5032839669,Center,Regulated  Center (not HS),Certified,75,Unknown,No,No,2
Albina Head Start Highland Center,7600 NE Glisan St,Portland,OR,97213,5032821975,Center,Head Start/Early HS,Certified,100,Yes,Yes,No,5
"Hancock Street Preschool, Inc",1624 NE Hancock St,Portland,OR,97212,5038033476,Center,Exempt Center,Recorded,18,Unknown,No,No,.
"Children's Club, Inc",3520 SE Yamhill St,Portland,OR,97214,5032332246,Center,Regulated  Center (not HS),Certified,65,Yes,No,No,.
Friendly House - Friendly Chaps,1715 NW 26th Ave,Portland,OR,97210,5032284391,Center,Regulated  Center (not HS),Certified,40,Unknown,No,No,2
,6820 SE 85TH AVE,Portland,OR,97266,5034732705,Family,Regulated Family Child Care Home,Register,4,Unknown,No,No,.
Albina Head Start - Carolyn Young Center,4219 NE Martin Luther King Blvd,Portland,OR,97211,5034933542,Center,Head Start/Early HS,Certified,135,Yes,Yes,No,5
Petunia Preschool,5433 NE 53rd Ave,Portland,OR,97218,5032885177,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,.
SUN Community School - Shaver Elementary,3701 NE 131st Pl,Portland,OR,97203,5034082850,Center,Exempt Center,Recorded,400,Unknown,No,No,.
,2333 SE 130th Ave Apt B110,Portland,OR,97233,5039229239,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Ashley's Daycare,16000 SE Powell Blvd Unit 71,Portland,OR,97236,5037603713,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,3
Noah's Ark Daycare,29 NE 218th Ave,Gresham,OR,97030-8546,5039121222,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Art 4 Life - Chief Joseph,2409 N Saratoga St,Portland,OR,97217,5037809145,Center,Regulated  Center (not HS),Certified,60,Yes,No,No,.
Airport Learning Tree,12029 NE Ainsworth Cir Ste 100,Portland,OR,97220,5032551056,Center,Regulated  Center (not HS),Certified,97,Yes,No,No,2
,1314 SE 120th Ave,Portland,OR,97216,5035120230,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,3
KCE Champions - Highland,295 NE 24th St,Gresham,OR,97030,5036618260,Center,Regulated  Center (not HS),Certified,30,Yes,No,No,2
Class Academy,2730 NW Vaughn St,Portland,OR,97210,5032239099,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,3
kCE Champions - Menlo Park,12900 NE Glisan St,Portland,OR,97230,5035686701,Center,Regulated  Center (not HS),Certified,39,Yes,No,No,.
Tikes and Trikes Childcare,5344 SE 115th Avenue,Portland,OR,,5034221428,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Karen's Child Care,10506 SE Powell Blvd,Portland,OR,97266,5037606124,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Windsong Preschool,12145 SE Flavel St,Portland,OR,97266,5037629276,Center,Exempt Center,Recorded,8,Unknown,No,No,.
,16055 SE Mill St,Portland,OR,97233,5039439603,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,3
Ainsworth After School Association,2425 SW Vista Ave,Portland,OR,97201,5032239744,Center,Regulated  Center (not HS),Certified,190,Unknown,No,No,.
Daddy Day Care,7025 NE 29th Ave,Portland,OR,97211,5032834216,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2
Georgy's Playcare,222 N Bryant St,Portland,OR,97217-1706,5032856175,Certified,Regulated Family Child Care Home,Certified,13,Yes,No,No,2
St John's Day Care,7423 N Ida Ave,Portland,OR,97203,5038040948,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,3
Lucy's Home Day Care,1430 SE 179th Ave,Portland,OR,97233,5032521932,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,118 Cedar Ln,Wood Village,OR,97060,5039985084,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,10012 SE Schiller St,Portland,OR,97266,5037602337,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Kathy's Kids Preschool & Childcare,2178 NW 6th Pl,Gresham,OR,97030,5037585866,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,2
Giving Tree Preschool LLC,3807 NE Rodney Ave,Portland,OR,97212,5035016810,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,.
Little Pandas Playschool,4334 NE 80th Ave,Portland,OR,97218,9713522259,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Itty Bitty's Child Care,520 SE Juniper Ave,Gresham,OR,97080-7851,5039010665,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2
Early Learning Center - Laboratory School,6975 SE Division St,Portland,OR,97206,5035171082,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,2
,1016 NE 104th Ave,Portland,OR,97220,5039976520,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,2
Vermont Hills - Rieke School,1405 SW Vermont St,Portland,OR,97221,5032904192,Center,Regulated  Center (not HS),Certified,65,Unknown,No,No,2
Pockets Full of Posies,3515 NE 14th Ave,Portland,OR,97212-2257,5037044174,Center,Regulated  Center (not HS),Certified,42,Unknown,No,No,.
Wild Lilac Child Development Community,3829 SE 74th Ave,Portland,OR,97206,5032363240,Center,Regulated  Center (not HS),Certified,76,Yes,No,No,.
Honor's Day Care,8504 N Van Houten Ave,Portland,OR,97203-6078,5032834186,Family,Regulated Family Child Care Home,Register,9,Yes,No,No,2
YMCA - Alameda,2732 NE Fremont St,Portland,OR,97212,5038492829,Center,Regulated  Center (not HS),Certified,104,Unknown,No,No,.
Mt Tabor Preschool,5441 SE Belmont St,Portland,OR,97215,5039141988,Center,Exempt Center,Recorded,18,Unknown,No,No,.
,7618 SE 109th Ave,Portland,OR,97266,5037601386,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Petit Pois Daycare,7348 SW Corbett Ave,Portland,OR,97219,5032081007,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,.
Little Green School House,4073 NE 12th Ave,Portland,OR,97212,5032820474,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2
SUN Community School - Hartley Elementary,701 NE 185th Pl,Portland,OR,97230-7103,5036650134,Center,Exempt Center,Recorded,80,Unknown,No,No,.
,23300 W Arata Rd Unit 29,Troutdale,OR,97060,5036674678,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,2
Helping Hands Family Daycare & Preschool Inc,8250 N Wabash Ave,Portland,OR,97217,5032479051,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,2
,8375 SE Lambert St,Portland,OR,97266,5032553083,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,2950 SE 131st Ave,Portland,OR,97236,5037610148,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Creative Minds Learning Centers - Sellwood,7733 SE 13th Ave,Portland,OR,97202,5032367053,Center,Regulated  Center (not HS),Certified,70,Unknown,No,No,2
Penny's Play House,19116 NE Wasco Ct,Portland,OR,97230,5036740756,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,2
Panda Babies,4400 NE 80th Ave,Portland,OR,97218-4216,5037810442,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Mt Hood Community College Head Start - Russellville,10420 E Burnside St,Portland,OR,97216,5032628710,Center,Head Start/Early HS,Certified,36,Yes,Yes,No,5
The Nest Playschool,7815 SE 68th Ave,Portland,OR,97206-8052,5039330238,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,2
Rising Stars Early Learning Center,7732 SE Aspen Summit Dr,Portland,OR,97266,5037747827,Center,Regulated  Center (not HS),Certified,40,Yes,No,No,.
Rose City Day Nursery,2200 NE 52nd Ave,Portland,OR,97213-2606,5032824841,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
Kiki's Kids,4608 N Haight Avenue,Portland,OR,,5039439078,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
In A Child's Path - Haskins,3053 NE 66th Ave,Portland,OR,97213,5032812273,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,2
Albina Head Start - Benjamin M Priestley Center,6841 N Interstate Ave,Portland,OR,97217,5032835984,Center,Head Start/Early HS,Certified,18,Yes,Yes,No,5
,6416 SE 85th Ave,Portland,OR,97266,5033172889,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,.
Rubies Child Care,637 N Lombard St,Portland,OR,97217-1575,5038902180,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,2
,6430 SE 128th Ave Apt 1,Portland,OR,97236-4693,5039229863,Family,Regulated Family Child Care Home,Register,3,Unknown,No,No,.
Jeanne's Daycare,437 SW 9th Cir,Troutdale,OR,97060,5038869371,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Joyful Noise - East,911 NE 11th Ave,Portland,OR,97232,5032304114,Center,Regulated  Center (not HS),Certified,75,Yes,No,No,5
PJA Kidspace,9935 NW Durrett St,Portland,OR,97229,5035353611,Center,Regulated  Center (not HS),Certified,60,Unknown,No,No,.
Nancy's Day Care,644 SE 141st Avenue,Portland,OR,,5034211995,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Ascension Early Childhood Center,1440 SE 182nd Ave,Portland,OR,97233-5009,5036676750,Center,Regulated  Center (not HS),Certified,77,Unknown,No,No,.
Vermont Hills - Buckman,320 SE 16th Ave,Portland,OR,97214,5034772630,Center,Regulated  Center (not HS),Certified,39,Unknown,No,No,2
YMCA - Grout,3119 SE Holgate Blvd,Portland,OR,97202,5038492608,Center,Regulated  Center (not HS),Certified,26,Yes,No,No,3
SUN Community School - Cesar Chavez,5103 N Willis Blvd,Portland,OR,97203,5039165666,Center,Exempt Center,Recorded,200,Unknown,No,No,.
SUN Community School - Reynolds Middle,1200 NE 201st Ave,Fairview,OR,97024-9642,5036658166,Center,Exempt Center,Recorded,100,Unknown,No,No,.
Little Hands Garden School LLC,3229 SE 57th Ave,Portland,OR,97206-2014,5034815189,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Darlenes Kid Zone,3114 NE 80th Ave,Portland,OR,97213,5032516993,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Ginger's Joyful Day Care,16308 SE Stephens St,Portland,OR,97233-4136,5037603635,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,2
ChildRoots Center for Young Children,50 SE 17th Ave,Portland,OR,97214,5032358312,Center,Regulated  Center (not HS),Certified,120,Unknown,No,No,.
,1928 NE 91st Ave,Portland,OR,97220,5032560597,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Feng Zhu He,4726 SE 108th PL,Portland,OR,97266-3419,9712552847,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
North Portland Montessori School,7107 N Albina Ave,Portland,OR,97217-1607,5037046231,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,2
,3449 SW Wonderview Ave,Gresham,OR,97080,5034928100,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Stephenson Children's Care Association,2627 SW Stephenson St,Portland,OR,97219,5032458458,Center,Regulated  Center (not HS),Certified,100,Unknown,No,No,.
PJA Kidsplace,11536 NW Skyline Blvd,Portland,OR,97231,5035353612,Center,Regulated  Center (not HS),Certified,25,Unknown,No,No,.
Three Little Stars Child Care,3324 NE 18th Ave,Portland,OR,97212,5034733990,Certified,Regulated Family Child Care Home,Certified,11,Yes,No,No,2
,2804 SE 111th Ave,Portland,OR,97266-1108,9713408733,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Young Wonders Preschool,4324 NE 17th Ave,Portland,OR,97211,5032813819,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,2
Little Friends Childcare,1703 SE Regner Rd,Gresham,OR,97080-7245,5039134309,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2
Albina Early Head Start - Avel Gordly Center,911 N Skidmore St,Portland,OR,97217,5032369389,Center,Head Start/Early HS,Certified,24,Yes,Yes,No,5
SUN Community School - Jason Lee K-8,2222 NE 92nd Ave,Portland,OR,97220-4311,5039166144,Center,Exempt Center,Recorded,70,Unknown,No,No,.
"RKM Early Learning, Inc. dba Grandma's Place at Center Village",5845 NE Hoyt St Ste 100,Portland,OR,97213,5032380123,Center,Regulated  Center (not HS),Certified,36,Yes,No,No,.
,5872 SE Harney Dr Apt E,Portland,OR,97206,5037711574,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
My Little Waiting Room at Providence Portland,4805 NE Glisan St,Portland,OR,97213-2933,5032155400,Center,Regulated  Center (not HS),Certified,12,Unknown,No,No,.
,3350 SE 115th Ave Apt 6,Portland,OR,97266-1771,5038162834,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
YMCA - Vernon,2044 NE Killingsworth St,Portland,OR,97211,5038492816,Center,Regulated  Center (not HS),Certified,60,Yes,No,No,.
SUN Community School - Boise-Eliot,620 N Fremont St,Portland,OR,97227,5039166171,Center,Exempt Center,Recorded,390,Unknown,No,No,.
"Friendly House, Inc.",1737 NW 26th Ave,Portland,OR,97210,5032284391,Center,Regulated  Center (not HS),Certified,96,Yes,No,No,2
Trina's Home Childcare,1435 SE 148th Ave,Portland,OR,97233,5038219758,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,2
Suzanne's Family Childcare,8920 SW 9th Dr,Portland,OR,97219,5037536173,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Lotus Heart Preschool,5406 SW Iowa St,Portland,OR,97221,5034526148,Center,Exempt Center,Recorded,10,Unknown,No,No,.
Stepping Stone Day School Center Inc,260 SW Towle Ave,Gresham,OR,97080,5036651213,Center,Regulated  Center (not HS),Certified,136,Yes,No,No,.
Easy Spirit Child Care LLC,2144 N Webster St,Portland,OR,97217,5032892763,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,3
,12536 SE Foster Rd,Portland,OR,97236,5037615510,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,3429 SE 162nd Avenue,Portland,OR,,9713882554,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Smiling Faces Day Care,5523 NE 27th Ave,Portland,OR,97211,5032849119,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Butterflies n Me Child Care Inc,615 SE 84th Ave,Portland,OR,97216,5032571441,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,2
SUN Community School - King,4906 NE 6th Ave,Portland,OR,97211,5039166456,Center,Exempt Center,Recorded,200,Unknown,No,No,.
Portland Parks & Recreation - Mt. Scott Community Center,5530 SE 72nd Ave,Portland,OR,,5038233183,Center,Exempt Center,Exempt,22,Unknown,No,No,.
"Markham Children's Care Association, Inc.",10531 SW Capitol Hwy,Portland,OR,97219,5032451094,Center,Regulated  Center (not HS),Certified,60,Yes,No,No,.
"Jump For Joy Christian, LLC",4635 NE 9th Ave,Portland,OR,97211,5032658202,Center,Regulated  Center (not HS),Certified,76,Yes,No,No,2
,222 SE 205th Pl,Gresham,OR,97030,9713228009,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,.
,128 SE 162nd Ave Apt 22,Portland,OR,97233,5032687808,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
,18244 SE Pine St Apt 1,Portland,OR,97233-4898,5038756597,Family,Regulated Family Child Care Home,Register,5,Yes,No,No,.
Mt Hood Community College Head Start - Cascade Crossing,10619 E Burnside St,Portland,OR,97216,5034087139,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5
Portland Parks & Recreation - Matt Dishman Community Center,77 NE Knott Street,Portland,OR,,5038233673,Center,Exempt Center,Exempt,12,Unknown,No,No,.
,16048 SE Flavel Dr,Portland,OR,97236,5037623944,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,1736 NE 155th Ave,Portland,OR,97230-5316,5037549028,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Schoolita Alegria,1814 NE 33rd Ave,Portland,OR,97212,5032885574,Center,Regulated  Center (not HS),Certified,10,Yes,No,No,.
SUN Community School - Bridger,7910 SE Market St,Portland,OR,97215,5039166336,Center,Exempt Center,Recorded,20,Unknown,No,No,.
"Albina Head Start - Waters, Gladys Center",111 NE Failing St,Portland,OR,97212,5032811901,Center,Head Start/Early HS,Certified,12,Yes,Yes,No,5
We Village Pearl,1024 NW Glisan St,Portland,OR,97209,5039355590,Center,Regulated  Center (not HS),Certified,35,Yes,No,No,.
Sunshine Center Montessori Preschool,1542 N Killingsworth St,Portland,OR,97217,5032829460,Certified,Regulated Family Child Care Home,Certified,11,Unknown,No,No,2
,9923 SE Hult St,Portland,OR,97266,5039805916,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
Laugh & Learn Childcare,23445 NE Glisan St,Wood Village,OR,97060-2709,5033173811,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Grandma's Place - Rose Quarter,1730 N Flint Ave,Portland,OR,97227,5032816800,Center,Regulated  Center (not HS),Certified,53,Yes,No,No,2
,4050 SE 139th Ave,Portland,OR,97236,9719989223,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
YMCA - Y's Choice Child Development Center,511 SE 60th Ave,Portland,OR,97215,5032317277,Center,Regulated  Center (not HS),Certified,81,Yes,No,No,2
